d_ped_init,v_ped,v_ego,d_rear_init,v_rear,ped_risk,rear_risk
10.462685375611589,4.0,7.0,7.545136842630554,7.0,1.0,1.0
10.070695521616692,4.0,7.0,7.478032348730112,7.0,0.44682213819722105,1.0
10.56320875435004,4.0,7.0,11.384302935721774,7.0,0.41110988322028946,1.0
10.009325972499454,4.0,7.0,7.620729599112433,7.0,0.41107492919987443,1.0
10.002528184972663,4.0,7.0,7.468070651797644,6.999999999999999,0.3009165257349942,1.0
10.530852712255616,4.0,7.0,7.555098539563024,7.550957524976771,0.30025593755774416,1.0
10.915144925146977,4.0,7.000000000000001,7.717155442590241,7.0,0.21658850161307552,1.0
10.292669543174583,4.0,7.000000000000001,9.139840441925603,7.000000000000001,0.21385872296959596,1.0
11.392033019648537,4.0,7.0,12.466287089548144,7.0,0.19734478539085606,1.0
11.108689448973408,4.0,7.000000000000001,10.947176246734974,7.000000000000001,0.19703544428073808,1.0
11.209396983694687,4.0,7.0,13.868670093737752,7.0,0.19247539086258802,1.0
11.08793113527505,4.0,7.0,9.84858411689888,7.0,0.1888197203298527,1.0
11.209396983694687,4.0,7.0,13.868670093737752,7.0,0.18055514518213261,1.0
10.570038912339507,4.0,7.0,8.392878344774841,7.0,0.17098262756210833,1.0
11.08793113527505,4.0,7.0,9.84858411689888,7.0,0.16316811859871558,1.0
11.423498699085837,4.0,7.000000000000001,8.299214599250089,7.0,0.16177014068690504,1.0
11.768604711893305,4.0,7.0,7.623491697065489,7.0,0.15380273235378494,1.0
11.64265835554803,4.0,7.0,13.072513004403504,7.0,0.1388826594979929,1.0
13.084309890447958,4.0,7.0,8.869199252418126,7.0,0.1339907686441728,1.0
10.56320875435004,4.0,7.0,11.384302935721774,7.0,0.13198136313319606,1.0
11.64265835554803,4.0,7.0,13.072513004403504,7.0,0.13011833096074915,1.0
11.996667033676372,4.0,7.0,12.849950967028477,7.0,0.12304035225730899,1.0
11.996667033676372,4.0,7.0,12.849950967028477,7.0,0.10637431135983125,1.0
12.368218372268252,4.0,7.0,8.996786793932111,7.0,0.08898100357206408,1.0
13.714120528900953,4.0,7.0,12.830102819670437,7.0,0.07787553509424634,1.0
12.645358992918128,4.0,6.999999999999999,9.430804413589609,7.0,0.07486885929633004,1.0
12.368218372268252,4.0,7.0,8.996786793932111,7.0,0.07427318809844458,1.0
12.676390982762546,4.0,7.0,7.7509248572019835,7.0,0.07182546474982941,1.0
12.994123709745695,4.0,7.0,9.966710120603407,7.0,0.06383705703577923,1.0
13.177329940349408,4.0,7.0,10.614652897574697,7.0,0.06317839692270581,1.0
13.243649004146656,4.0,6.999999999999999,7.752628476557953,6.999999999999999,0.061726433962438404,1.0
13.921977731850763,4.0,7.0,8.986591197530167,7.0,0.060708398223728775,1.0
13.072738025600511,4.0,7.0,11.06405629037417,7.0,0.06048944300167332,1.0
13.554187794928197,4.0,7.0,12.795894348389584,7.0,0.060246616235086294,1.0
13.084309890447958,4.0,7.0,8.869199252418126,7.0,0.055943690566798265,1.0
13.177329940349408,4.0,7.0,10.614652897574697,7.0,0.05568135497564604,1.0
13.554187794928197,4.0,7.0,12.795894348389584,7.0,0.054006764080829966,1.0
13.072738025600511,4.0,7.0,11.06405629037417,7.0,0.053991304831603804,1.0
13.645573900258665,4.0,7.0,12.80906850243663,7.0,0.05224340254966583,1.0
13.062670338387983,4.0,7.0,9.987744437837213,7.0,0.05197717486954392,1.0
13.5613847789644,4.0,7.0,9.078481534295399,7.0,0.04995441262275587,1.0
13.306783676853714,4.0,7.0,15.036157053577483,7.0,0.04802713679621145,1.0
14.846275658199938,4.0,7.0,7.024528538712087,7.0,0.03881450160346411,1.0
13.624519451671459,4.0,6.999999999999999,16.36201011131493,6.999999999999999,0.03796428710395885,1.0
13.953009721695183,4.0,6.999999999999999,7.306711641142542,7.0,0.03643844978011868,1.0
13.947829354948045,4.0,7.0,14.698166966063201,7.0,0.03516060158664666,1.0
14.24807338820797,4.0,7.0,7.633731403930049,7.0,0.034855182301281235,1.0
14.846275658199938,4.0,7.0,7.024528538712087,7.0,0.034227045713671495,1.0
13.947829354948045,4.0,7.0,14.698166966063201,7.0,0.029906094763289787,1.0
14.13518020056701,4.0,7.0,8.428069888521954,7.0,0.027647579417792466,1.0
