d_ped_init,v_ped,v_ego,d_rear_init,v_rear,ped_risk,rear_risk
12.221876543470469,4.0,7.0,9.809749034504707,7.0,0.3168475344477001,1.0
12.120386927398187,4.0,7.0,10.233468704381849,7.0,0.28039653772519746,1.0
12.311550397178653,4.0,7.0,9.559285650423915,7.0,0.24921057357363222,1.0
12.030713073690002,4.0,7.0,10.483932088462641,7.0,0.24809958110254884,1.0
12.535852811093728,4.0,7.0,9.812749531146867,7.0,0.20886328337870713,1.0
13.484127921824076,4.0,7.0,13.385215499127241,7.0,0.14800759272858982,0.005972502183056032
14.349618080807293,4.0,7.0,11.221961031628279,7.0,0.09105271931013928,0.045719129739719734
12.37629115776094,4.0,7.0,10.731322096579968,7.0,0.0788124423815786,1.0
14.217076579659846,4.0,7.0,10.506325112680829,7.0,0.10619698666747658,0.017420682200553598
13.643689575156866,4.0,7.0,12.466642933694141,7.0,0.1402388603266181,0.0027455243520387155
14.537941274499463,4.0,7.0,14.14797738421587,7.0,0.028731130350292178,1.0
14.554215081251058,4.0,7.0,13.865150923678396,7.0,0.08149041477606365,0.009152307975706986
14.329795647393574,4.0,7.0,9.825284736725331,6.627583236489858,0.10534458721780893,0.008917582499339749
14.123354224939733,4.0,7.0,14.77249158599458,7.0,0.11504247236829494,0.0007562651388042667
14.329795647393574,4.0,7.0,9.590847329208408,7.0,0.025119501733223158,1.0
15.658496016784255,4.0,7.0,11.37822499824259,7.0,0.020844002072399632,1.0
14.608654204591348,4.0,7.0,9.702880821555048,7.0,0.020247164180221756,1.0
15.028717301051309,4.0,6.999999999999999,12.390614505965647,7.0,0.019138510826400203,1.0
15.898653688985531,3.6115014370517042,7.590995180117452,11.572030107963872,7.0,0.016567025630588164,1.0
15.595444726430353,4.0,7.0,8.209941276845377,7.0,0.015728114635814125,1.0
13.534880133908176,4.0,7.0,10.6817364632704,7.0,0.01538032296619966,1.0
14.397448528899478,4.0,7.0,9.455096958596261,7.0,0.014724508960120829,1.0
16.062367311940715,4.0,7.0,8.82424549387167,7.0,0.013609055503708722,1.0
15.642155431361589,4.0,7.0,12.134439639074394,7.0,0.013298398284438833,1.0
13.930525943389116,6.039153994256802,7.0,8.840792741569969,7.0,0.012838895990751172,1.0
14.038910064279236,4.0,7.0,10.453509837286015,7.0,0.01254009723562316,1.0
14.349618080807293,4.0,7.0,11.221961031628279,7.0,0.012539399531479778,1.0
15.56431218600469,4.0,7.0,10.754734593581377,7.0,0.012463314151700447,1.0
15.98952090833916,4.0,7.0,11.76131814471724,7.0,0.011934997310270125,1.0
16.300887288935463,4.0,7.0,10.46658320726475,7.0,0.010385669322592554,1.0
14.12397490545591,4.0,7.0,11.05923129895687,7.0,0.00985546029588068,1.0
16.33810535734434,4.0,7.099958095392418,14.50523720396809,7.0,0.008904232794779044,0.7533060914635007
16.640755891820753,4.0,7.0,10.803685259184402,7.000000000000002,0.008431074982613996,1.0
14.602273338122922,4.0,7.0,8.911179787605462,7.0,0.007996490342253464,1.0
14.116753309636135,4.0,7.0,11.833214882779032,7.0,0.007991741133164327,1.0
17.1337667270357,4.0,6.999999999999999,9.507490131959745,7.0,0.007250353994098878,1.0
13.022029198203196,4.0,7.0,9.3676836050533,7.0,0.007168247997002015,1.0
14.509171663918986,4.0,7.0,9.464085973881504,7.0,0.0069792178759360965,1.0
16.41150462469051,4.0,7.0,12.886082966180975,7.0,0.006902354218601892,1.0
15.910985251275346,4.0,7.0,9.290293531112914,6.998763128966116,0.006702886579854956,1.0
17.02296647339078,4.0,7.0,9.871180212912794,7.0,0.006530828983297498,1.0
17.279369878905612,4.0,7.0,9.376440792105562,7.0,0.005709039650504314,1.0
17.001323155220653,4.0,7.0,11.102747066867067,7.000000000000002,0.005686968779169922,1.0
14.753132940672678,4.303573148317966,6.8587987507022214,14.375673658855444,7.355245845624064,0.005641966120888658,1.0
17.443622061794652,4.0,7.0,11.595078232009838,7.0,0.005602884708225553,0.9706391429619967
16.93631751863038,4.0,6.999999999999999,13.85807784669752,7.0,0.005465123419474845,1.0
17.259195441673793,4.0,7.0,10.879389568105324,7.0,0.005046686696837065,1.0
17.26523580448766,4.0,7.0,12.51030517180547,7.0,0.005025691113005805,1.0
17.255274482517954,4.0,7.0,8.591447302060324,7.0,0.004945368617605759,1.0
17.15552755406663,4.0,7.0,9.890422833074084,7.0,0.004755477946689432,1.0
